borrower_id,age,gender,state,borrower_segment,recharge_freq_30d,recharge_avg_amount_inr,recharge_amount_cv,upi_active_days_30d,upi_monthly_txn_count,job_app_sessions_per_week,sim_tenure_months,elec_payment_delay_days,elec_bill_variance_pct,water_gas_bill_available,water_gas_payment_delay_days,rent_receipt_streak_months,rent_amount_cv,declared_monthly_income_inr,sms_avg_monthly_credit_inr,sms_avg_monthly_debit_inr,sms_debit_to_credit_ratio,sms_credit_regularity_score,gig_payment_inflows_monthly_inr,gig_income_trend,income_declaration_ratio,salary_slip_available,salary_slip_net_income_inr,salary_slip_months_count,employer_verified,rental_agreement_available,rental_agreement_tenure_months,rental_amount_match_utility,utility_bill_available,utility_address_match_id,id_verified,id_type,id_address_match_score,behavioral_score_0_100,household_score_0_100,income_score_0_100,document_score_0_100,credit_score,risk_category,loan_approved,loan_amount_eligible_inr,default_label
BRW-00001,33,F,Gujarat,Informal Salaried,3,297.4564007237565,0.44310821005163387,16.0,14.0,5,47,11,0.184,1,9.0,6,0.182,12944,9838.895404299143,10746.90629882845,0.936,0.870431161241786,303,Declining,1.38,1,9877.0,5.0,1,1,21.0,1.0,1,1,1,Aadhaar,0.834,62.9,46.8,46.8,97.6,611,High Risk,1,77664,0
BRW-00002,37,F,Maharashtra,Unbanked Rural,2,97.44294066091759,1.0357212740772983,,,1,18,22,0.221,0,,1,0.282,12952,8542.388896103936,6872.04909032621,0.929,0.5248381744647669,977,Growing,1.798,0,,,0,0,,,0,0,0,PAN+Aadhaar,0.14938596982920252,32.8,16.2,26.8,22.0,300,Very High Risk,0,0,1
BRW-00003,45,M,Bihar,Self-Employed,3,202.83816827232238,0.20748630650400676,25.0,20.0,0,33,-1,0.209,0,,4,0.106,58624,40620.530084063466,23533.73927946203,0.791,0.9862665007216803,8614,Stable,1.415,1,44955.0,3.0,0,0,,,0,0,1,Aadhaar,0.976,75.9,59.1,72.6,49.9,571,High Risk,0,0,1
BRW-00004,40,M,Karnataka,Gig Worker,2,271.473501574846,0.18793567763979252,29.0,29.0,4,9,4,0.172,1,9.0,7,0.053,46796,37808.326998232274,33193.200563681385,0.812,0.8099052988640727,41189,Stable,1.251,0,,,0,0,,,1,1,1,PAN+Aadhaar,0.799,62.5,70.6,76.3,41.7,524,High Risk,0,0,1
BRW-00005,29,M,Tamil Nadu,Formal Salaried,3,448.5108458237989,0.13128505864150183,27.0,44.0,0,36,-2,0.05,0,,12,0.005,75420,95351.57191144869,42976.13021419777,0.68,0.8224660753157067,2646,Stable,0.971,1,61574.0,5.0,1,1,27.0,1.0,1,1,0,Voter ID,0.295,80.3,81.5,95.1,77.4,760,Low Risk,1,1810080,0
BRW-00006,52,F,Bihar,Formal Salaried,5,425.8638341393629,0.18488610615248793,21.0,36.0,0,83,-4,0.05,1,-2.0,11,0.005,119758,111291.2401468657,48263.24061674427,0.712,0.9341774067357826,1274,Stable,1.005,1,92560.0,5.0,1,0,,,1,1,1,Aadhaar,0.953,87.6,96.7,94.3,84.0,841,Low Risk,1,2874192,0
BRW-00007,42,M,UP,Formal Salaried,5,369.3277063905361,0.12663553924802468,27.0,20.0,0,56,1,0.137,1,4.0,6,0.036,95671,106660.39920140375,80367.3020342944,0.652,0.724235348106122,1270,Stable,1.008,1,75800.0,3.0,1,0,,,1,1,1,Aadhaar,0.97,94.7,79.3,91.7,81.3,765,Low Risk,1,2296104,1
BRW-00008,38,F,Tamil Nadu,Unbanked Rural,2,176.69082086201956,0.7456035048143198,5.0,1.0,1,10,14,0.534,0,,3,0.121,14292,5573.607925757574,6308.557735300808,0.933,0.42074747434678805,322,Declining,2.306,0,,,0,0,,,1,1,1,Aadhaar,0.982,32.3,15.6,15.2,42.8,310,Very High Risk,0,0,1
BRW-00009,44,F,Tamil Nadu,Gig Worker,2,248.02641652225384,0.3477707276343522,19.0,21.0,5,24,14,0.202,1,-6.0,3,0.149,41447,33190.0372747104,26441.498685782535,0.742,0.8313613589571348,17525,Growing,1.145,0,,,0,1,30.0,1.0,1,1,1,Driving Licence,0.938,54.3,39.1,74.4,56.8,538,High Risk,0,0,1
BRW-00010,37,M,Delhi,Self-Employed,5,412.8414544292031,0.37236596620850515,21.0,39.0,0,27,-8,0.173,1,3.0,11,0.067,24033,15681.728628970763,11153.781358980832,0.748,0.8245898858782104,13884,Stable,1.501,0,,,0,1,6.0,0.0,1,1,1,Voter ID,0.947,77.7,94.5,50.0,56.8,624,Medium Risk,1,288396,1
